Postal code ;Locality;Population
(april 2009);;(2008-12-31)
10005;STOCKHOLM           ;8
11120;STOCKHOLM           ;47
11121;STOCKHOLM           ;307
11122;STOCKHOLM           ;103
11123;STOCKHOLM           ;512
11124;STOCKHOLM           ;839
11127;STOCKHOLM           ;739
11128;STOCKHOLM           ;131
11129;STOCKHOLM           ;818
11130;STOCKHOLM           ;429
11131;STOCKHOLM           ;891
11134;STOCKHOLM           ;176
11135;STOCKHOLM           ;1
11136;STOCKHOLM           ;263
11137;STOCKHOLM           ;644
11138;STOCKHOLM           ;948
11139;STOCKHOLM           ;678
11140;STOCKHOLM           ;737
11143;STOCKHOLM           ;1
11144;STOCKHOLM           ;50
11145;STOCKHOLM           ;17
11146;STOCKHOLM           ;4
11147;STOCKHOLM           ;8
11148;STOCKHOLM           ;11
11149;STOCKHOLM           ;58
11152;STOCKHOLM           ;517
11156;STOCKHOLM           ;104
11157;STOCKHOLM           ;86
11160;STOCKHOLM           ;892
11161;STOCKHOLM           ;425
11164;STOCKHOLM           ;231
11215;STOCKHOLM           ;159
11216;STOCKHOLM           ;4
11217;STOCKHOLM           ;524
11218;STOCKHOLM           ;233
11219;STOCKHOLM           ;303
11220;STOCKHOLM           ;1256
11221;STOCKHOLM           ;1916
11222;STOCKHOLM           ;893
11223;STOCKHOLM           ;1332
11224;STOCKHOLM           ;864
11225;STOCKHOLM           ;895
11226;STOCKHOLM           ;642
11227;STOCKHOLM           ;1305
11228;STOCKHOLM           ;1136
11229;STOCKHOLM           ;1179
11230;STOCKHOLM           ;936
11231;STOCKHOLM           ;1005
11232;STOCKHOLM           ;764
11233;STOCKHOLM           ;2064
11234;STOCKHOLM           ;827
11235;STOCKHOLM           ;735
11236;STOCKHOLM           ;1054
11237;STOCKHOLM           ;853
11238;STOCKHOLM           ;1021
11239;STOCKHOLM           ;1057
11240;STOCKHOLM           ;1204
11241;STOCKHOLM           ;1265
11242;STOCKHOLM           ;1305
11243;STOCKHOLM           ;865
11244;STOCKHOLM           ;1341
11245;STOCKHOLM           ;2232
11246;STOCKHOLM           ;998
11247;STOCKHOLM           ;1086
11248;STOCKHOLM           ;1234
11249;STOCKHOLM           ;1298
11250;STOCKHOLM           ;841
11251;STOCKHOLM           ;75
11252;STOCKHOLM           ;1507
11253;STOCKHOLM           ;1536
11254;STOCKHOLM           ;1110
11255;STOCKHOLM           ;1302
11256;STOCKHOLM           ;787
11257;STOCKHOLM           ;715
11258;STOCKHOLM           ;1107
11259;STOCKHOLM           ;1280
11260;STOCKHOLM           ;1339
11261;STOCKHOLM           ;1037
11262;STOCKHOLM           ;1018
11263;STOCKHOLM           ;822
11264;STOCKHOLM           ;1796
11265;STOCKHOLM           ;1303
11266;STOCKHOLM           ;911
11267;STOCKHOLM           ;1700
11269;STOCKHOLM           ;1074
11320;STOCKHOLM           ;955
11321;STOCKHOLM           ;1115
11322;STOCKHOLM           ;1636
11323;STOCKHOLM           ;1179
11324;STOCKHOLM           ;1391
11325;STOCKHOLM           ;1221
11326;STOCKHOLM           ;1526
11327;STOCKHOLM           ;1696
11328;STOCKHOLM           ;1335
11329;STOCKHOLM           ;1679
11330;STOCKHOLM           ;1267
11331;STOCKHOLM           ;1177
11332;STOCKHOLM           ;883
11333;STOCKHOLM           ;1201
11335;STOCKHOLM           ;1720
